Tag	Treat_1	Treat_2	Treat_3	Model_1	Model_2	Model_3
NENF	302.7907519	350.2680995	337.7090128	205.1179096	198.7992269	178.5839853
ZNF217	1352.727515	1041.745641	905.917828	1901.830572	1634.129645	1682.550737
G6PD	12908.91352	11240.78774	12007.43157	8897.580107	9485.705112	8878.037366
SMIM24	730.4335347	770.9924258	766.5458545	483.0195936	476.1241485	561.8155645
TAF1D	961.4589461	847.4877579	745.1040124	1347.917692	1186.831385	1254.914491
DMAC1	651.7865862	711.6078917	720.445894	470.7314239	475.1301523	465.2836806
SPHK1	4311.818955	4783.977807	4800.828442	3279.996066	3613.175949	3472.251865
PRKAA2	461.0677359	389.522283	305.5462497	676.7945774	574.5297658	692.1336079
TBC1D10B	2697.590335	2584.73701	2469.028116	1967.99764	1875.670706	1952.840012
THAP7	256.5856697	323.0921262	265.8788418	142.7318173	171.9613313	155.4163331
FBL	1043.055155	1428.248371	1105.326959	518.9388589	737.5451318	826.3129266
PTAFR	189.7357634	186.2057425	173.6789209	326.109119	319.0727592	287.6650141
SLC4A2	3021.025911	3298.357937	3230.21351	2335.697487	2423.362576	2449.979214
SLC4A7	658.6681942	638.1321123	508.1716574	901.7626073	940.3203433	879.4054627
SVIL	1508.055239	1471.528625	1369.061617	2038.890927	1918.41254	1935.464273
QPRT	6378.267528	8128.63555	7203.386848	5152.52408	5465.984744	4943.397777
PTPRM	397.1670902	398.5809408	344.1415654	570.9272692	559.6198238	608.1508688
WDR43	1431.374464	1334.642241	1213.608262	1829.992042	1814.042946	1841.828346
HGH1	684.2284524	736.7708299	744.0319203	499.0887386	488.0521021	501.0004777
GJB1	2250.285816	2448.857144	2473.316484	1666.46486	1889.586652	1694.134563
TBC1D8	1400.898771	1349.740004	1316.529104	1902.775816	1752.415185	1841.828346
TRUB2	470.8986045	677.3862958	691.4994072	358.247409	384.6765041	360.0639271
TECR	2081.194876	2111.673772	1955.495998	1575.721453	1539.700012	1430.60252
AMBP	20498.34405	23551.50362	24137.08163	16138.14779	17867.08052	16834.19524
PNN	2277.812248	2379.407434	2004.812235	3319.696307	2783.189177	3297.529155
AFF1	961.4589461	785.0836712	686.1389467	1294.038794	1150.053528	1259.741085
CXCL8	68.81607999	58.37801658	50.38832889	144.6223049	159.0393815	108.11571
AMD1	1540.497105	1418.183196	1507.361498	2057.795803	2055.584006	1910.365983
TKFC	2556.025828	2968.220188	2459.379287	1933.968862	1941.274451	1930.637679
CYC1	3761.290315	4055.259117	3907.77572	2801.702692	3117.171878	2948.083736
WEE1	1392.050989	1146.423463	1171.79667	1910.337767	1695.757406	1691.238607
